datasetName,eventID,eventDate,eventTime,eventRemarks,decimalLatitude,decimalLongitude,locationID,coordinatePrecision,coordinateUncertaintyInMeters,country,countryCode,stateProvince,habitat,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,language,license,bibliographicCitation,references,institutionID,institutionCode
Hakai Institute Juvenile Salmon Program,DE100N3,2015-05-12,11:40:00-0700,NA,49.9613,-124.747,D01,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE101N1,2015-05-13,09:49:00-0700,NA,50.07902,-124.8509,D02,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE102N1,2015-05-14,07:38:00-0700,NA,49.99932,-125.1395,D04,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE103N1,2015-05-15,07:50:00-0700,NA,50.16142,-124.8842,D05,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE104N1,2015-05-15,10:21:00-0700,NA,50.08007,-124.8511,D02,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE105N1,2015-05-15,13:28:00-0700,NA,50.11842,-125.07512,D03,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE106N1,2015-05-16,08:00:00-0700,NA,50.08005,-125.2468,D06,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE107N1,2015-05-16,12:30:00-0700,NA,50.16412,-125.1602,D07,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE108N1,2015-05-17,09:00:00-0700,NA,50.08123,-124.8549,D02,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
Hakai Institute Juvenile Salmon Program,DE109N1,2015-05-18,07:30:00-0700,First problems with flowmeter observed: intermittent spinning.,50.11405,-125.0787,D03,1e-5,10,Canada,CA,British Columbia,Nearshore marine,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666,en,http://creativecommons.org/licenses/by/4.0/legalcode,"Johnson, B.T., J.C.L. Gan, S.C. Godwin, M. Krkosek, B.P.V. Hunt. 2020. Hakai Juvenile Salmon Program Time Series. Hakai Institute, Quadra Island Ecological Observatory, Heriot Bay, British Columbia, Canada. v#.#.#, http://dx.doi.org/10.21966/1.566666",https://github.com/HakaiInstitute/jsp-data,"https://www.gbif.org/publisher/55897143-3f69-42f1-810d-ae94b55fde24, https://oceanexpert.org/institution/20121, https://edmo.seadatanet.org/report/5148",Hakai
