"","eventDate","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","maximumDepthInMeters","eventID","basisOfRecord","geodeticDatum"
"1",2017-11-22,51.67482341,-128.1194543,"0","9.2","2017-11-22:HAKAI:CALVERT:CHOKED_PASS_INTERIOR6:0","HumanObservation","WGS84"
"2",2017-05-19,51.67881951,-128.1147522,"0","3.4","2017-05-19:HAKAI:CALVERT:CHOKED_PASS_EDGE1:0","HumanObservation","WGS84"
"3",2017-05-19,51.67492689,-128.1237431,"0","4.8","2017-05-19:HAKAI:CALVERT:CHOKED_PASS_EDGE3:0","HumanObservation","WGS84"
"4",2017-07-03,51.64532132,-128.1192523,"0","2.4","2017-07-03:HAKAI:CALVERT:PRUTH_BAY_INTERIOR5:0","HumanObservation","WGS84"
"5",2017-08-25,51.67349206,-128.1180197,"0","5.3","2017-08-25:HAKAI:CALVERT:CHOKED_PASS_INTERIOR5:0","HumanObservation","WGS84"
"6",2017-08-28,51.80866,-128.24686,"0","5.6","2017-08-28:HAKAI:CALVERT:TRIQUET_NORTH_EDGE3:0","HumanObservation","WGS84"
"7",2017-08-28,51.80888,-128.24746,"0","4.4","2017-08-28:HAKAI:CALVERT:TRIQUET_NORTH_INTERIOR5:0","HumanObservation","WGS84"
"8",2017-08-29,52.06205,-128.41389,"0","2.5","2017-08-29:HAKAI:CALVERT:MCMULLIN_NORTH_EDGE2:0","HumanObservation","WGS84"
"9",2017-09-01,51.78150021,-127.865721,"0","3","2017-09-01:HAKAI:CALVERT:KOEYE_ESTUARY_EDGE1:0","HumanObservation","WGS84"
"10",2018-02-19,51.64662622,-128.1197998,"0","4.1","2018-02-19:HAKAI:CALVERT:PRUTH_BAY_EDGE2:0","HumanObservation","WGS84"
"11",2018-02-21,51.67482341,-128.1194543,"0","6","2018-02-21:HAKAI:CALVERT:CHOKED_PASS_INTERIOR6:0","HumanObservation","WGS84"
"12",2017-07-06,51.67453798,-128.1177728,"0","7.7","2017-07-06:HAKAI:CALVERT:CHOKED_PASS_INTERIOR4:0","HumanObservation","WGS84"
"13",2018-06-19,51.67256649,-128.1172077,"0","5.9","2018-06-19:HAKAI:CALVERT:CHOKED_PASS_EDGE2:0","HumanObservation","WGS84"
"14",2018-06-19,51.67349206,-128.1180197,"0","5.9","2018-06-19:HAKAI:CALVERT:CHOKED_PASS_INTERIOR5:0","HumanObservation","WGS84"
"15",2016-06-16,51.6459294,-128.1193665,"0","2.7","2016-06-16:HAKAI:CALVERT:PRUTH_BAY_INTERIOR4:0","HumanObservation","WGS84"
"16",2016-08-17,51.80988,-128.2355,"0","3.3","2016-08-17:HAKAI:CALVERT:TRIQUET_BAY_EDGE1:0","HumanObservation","WGS84"
"17",2016-08-17,51.80996,-128.23466,"0","0","2016-08-17:HAKAI:CALVERT:TRIQUET_BAY_EDGE2:0","HumanObservation","WGS84"
"18",2016-08-18,51.64662622,-128.1197998,"0","2.1","2016-08-18:HAKAI:CALVERT:PRUTH_BAY_EDGE2:0","HumanObservation","WGS84"
"19",2016-08-25,51.67349206,-128.1180197,"0","6.1","2016-08-25:HAKAI:CALVERT:CHOKED_PASS_INTERIOR5:0","HumanObservation","WGS84"
"20",2016-09-12,51.64474874,-128.1198408,"0","2.3","2016-09-12:HAKAI:CALVERT:PRUTH_BAY_INTERIOR6:0","HumanObservation","WGS84"
"21",2018-11-21,NA,NA,"0","4.7","2018-11-21:HAKAI:CALVERT:PRUTH_BAY_EDGE1:0","HumanObservation","WGS84"
"22",2018-11-22,51.67256649,-128.1172077,"0","7.7","2018-11-22:HAKAI:CALVERT:CHOKED_PASS_EDGE2:0","HumanObservation","WGS84"
"23",2018-11-22,51.67453798,-128.1177728,"0","9","2018-11-22:HAKAI:CALVERT:CHOKED_PASS_INTERIOR4:0","HumanObservation","WGS84"
"24",2017-11-22,51.67453798,-128.1177728,"0","8.6","2017-11-22:HAKAI:CALVERT:CHOKED_PASS_INTERIOR4:0","HumanObservation","WGS84"
"25",2017-05-19,51.64655924,-128.1191054,"0","2.8","2017-05-19:HAKAI:CALVERT:PRUTH_BAY_EDGE3:0","HumanObservation","WGS84"
