ProjectRegion,subRegionId,habitatid,Site Code,siteid,sitename,stationid,First_Year,Latest_Year_whole_stn,length,offshoreDepth,latDD,lonDD
NPSDT/FKNMS,DT,OD,1D1,82,Bird Key Reef,821,1999,2016,22,45,24.6117,-82.8702
NPSDT/FKNMS,DT,OD,1D1,82,Bird Key Reef,822,1999,2016,22,40,24.6117,-82.8702
NPSDT/FKNMS,DT,OD,1D1,82,Bird Key Reef,823,1999,2016,23,43,24.6117,-82.8702
NPSDT/FKNMS,DT,OD,1D1,82,Bird Key Reef,824,1999,2016,25,45,24.6117,-82.8702
FKNMS,DT,OD,1D2,83,Black Coral Rock,831,1999,2016,19,71,24.6993,-83.0022
FKNMS,DT,OD,1D2,83,Black Coral Rock,832,1999,2016,19,70,24.6993,-83.0022
FKNMS,DT,OD,1D2,83,Black Coral Rock,833,1999,2016,20,71,24.6993,-83.0022
FKNMS,DT,OD,1D2,83,Black Coral Rock,834,1999,2016,20,71,24.6993,-83.0022
NPSDT/FKNMS,DT,P,1P1,41,White Shoal,411,1999,2016,23,29,24.6414,-82.8962
NPSDT/FKNMS,DT,P,1P1,41,White Shoal,412,1999,2016,23,24,24.6414,-82.8962
NPSDT/FKNMS,DT,P,1P1,41,White Shoal,413,1999,2016,22,18,24.6414,-82.8962
NPSDT/FKNMS,DT,P,1P1,41,White Shoal,414,1999,2016,23,15,24.6423,-82.8971
NPSDT,DT,P,1P2,42,Palmata Patch,421,2004,2016,20,9,24.6207,-82.8673
NPSDT,DT,P,1P2,42,Palmata Patch,422,2004,2016,25,9,24.6207,-82.8673
NPSDT,DT,P,1P3,43,Prolifera Patch,431,2004,2016,18,7,24.6206,-82.8696
NPSDT,DT,P,1P3,43,Prolifera Patch,432,2004,2016,22,5,24.6206,-82.8696
NPSDT,DT,P,1P3,43,Prolifera Patch,433,2004,2016,21,7,24.6206,-82.8696
NPSDT,DT,P,1P4,44,Temptation Rock,441,2004,2016,20,23,24.6431,-82.9307
NPSDT,DT,P,1P4,44,Temptation Rock,442,2004,2016,21,22,24.6431,-82.9307
NPSDT,DT,P,1P4,44,Temptation Rock,443,2004,2016,23,21,24.6431,-82.9307
NPSDT,DT,P,1P4,44,Temptation Rock,444,2004,2016,22,28,24.6431,-82.9307
NPSDT,DT,P,1P5,45,Mayer's Peak,451,2004,2016,21,31,24.608,-82.944
NPSDT,DT,P,1P5,45,Mayer's Peak,452,2004,2016,21,32,24.608,-82.944
NPSDT,DT,P,1P5,45,Mayer's Peak,453,2004,2016,22,30,24.608,-82.944
NPSDT,DT,P,1P5,45,Mayer's Peak,454,2004,2016,19,29,24.608,-82.944
NPSDT,DT,P,1P6,46,Loggerhead Patch,461,2005,2016,22,7,24.635,-82.9163
NPSDT,DT,P,1P6,46,Loggerhead Patch,462,2005,2016,22,6,24.635,-82.9163
NPSDT,DT,P,1P7,47,Little Africa,471,2006,2015,-999,2,24.635,-82.919
NPSDT,DT,P,1PA,27,The Maze,271,2009,2015,21,42,24.609,-82.9496
NPSDT,DT,P,1PA,27,The Maze,272,2009,2015,23,38,24.609,-82.9496
NPSDT,DT,P,1PA,27,The Maze,273,2009,2015,24,41,24.609,-82.9496
NPSDT,DT,P,1PA,27,The Maze,274,2009,2015,23,30,24.609,-82.9496
NPSDT,DT,P,1PB,28,Davis Rock,281,2009,2015,24,33,24.6871,-82.9072
NPSDT,DT,P,1PB,28,Davis Rock,282,2009,2015,20,29,24.6871,-82.9072
NPSDT,DT,P,1PB,28,Davis Rock,283,2009,2015,24,28,24.6871,-82.9072
NPSDT,DT,P,1PB,28,Davis Rock,284,2009,2015,20,30,24.6871,-82.9072
NPSDT,DT,P,1PC,29,Texas Rock,291,2009,2016,19,34,24.6805,-82.8853
NPSDT,DT,P,1PC,29,Texas Rock,292,2009,2016,23,46,24.6805,-82.8853
NPSDT,DT,P,1PC,29,Texas Rock,293,2009,2016,19,50,24.6805,-82.8853
NPSDT,DT,P,1PC,29,Texas Rock,294,2009,2016,27,44,24.6805,-82.8853
