eventID,occurrenceID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementAccuracy,measurementDeterminedDate,measurementMethod
St. John_250_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,25.2,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,25.2,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,25.2,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,25.2,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.8,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.8,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.8,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.8,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.1,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.1,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.1,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_250_3,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.1,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-16,
St. John_356_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_1,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,23.6,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
St. John_356_2,,temperature,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,24.9,Celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,3,2004-07-17,
