ufn,semsp_id,seine_id,species,fork_length_field,weight_field,weight,fork_length
U01,2015-05-20-J05-CU-6,JE101N1,CU,NA,NA,NA,118
U02,2015-05-20-J05-CU-1,JE101N1,CU,NA,NA,22.2,128
U11,2015-05-20-J05-CU-10,JE101N1,CU,NA,NA,NA,132
U12,2015-05-20-J05-CU-4,JE101N1,CU,NA,NA,NA,143
U03,2015-05-20-J05-CU-2,JE101N1,CU,NA,NA,24,134
U13,2015-05-20-J05-CU-7,JE101N1,CU,NA,NA,19.5,122
U04,2015-05-20-J05-CU-9,JE101N1,CU,NA,NA,22.5,132
U05,2015-05-20-J05-CU-3,JE101N1,CU,NA,NA,13.4,114
U14,2015-05-20-J05-CU-8,JE101N1,CU,NA,NA,26.3,139
U15,2015-05-20-J05-CU-5,JE101N1,CU,NA,NA,29.7,147
U31,2015-05-21-J06-SO-10,JE102N2,SO,NA,NA,10.9,96
U32,2015-05-21-J06-CO-3,JE102N2,CO,NA,NA,NA,138
U07,2015-05-21-J06-SO-5,JE102N2,SO,NA,NA,12.3,113
U08,2015-05-21-J06-CU-8,JE102N2,CU,NA,NA,13.5,111
U09,2015-05-21-J06-CU-7,JE102N2,CU,NA,NA,13,115
U21,2015-05-21-J06-SO-8,JE102N2,SO,NA,NA,8.5,96
U22,2015-05-21-J06-CU-3,JE102N2,CU,NA,NA,20.6,127
U16,2015-05-21-J06-SO-9,JE102N2,SO,NA,NA,12.4,110
U33,2015-05-21-J06-CO-1,JE102N2,CO,NA,NA,20.9,131
U34,2015-05-21-J06-CO-2,JE102N2,CO,NA,NA,36.4,140
U35,2015-05-21-J06-SO-4,JE102N2,SO,NA,NA,12.2,108
U10,2015-05-21-J06-SO-6,JE102N2,SO,NA,NA,11.2,104
U41,2015-05-21-J06-CU-1,JE102N2,CU,NA,NA,16.3,110
U42,2015-05-21-J06-SO-1,JE102N2,SO,NA,NA,7.6,95
U43,2015-05-21-J06-SO-2,JE102N2,SO,NA,NA,10.5,95
U23,2015-05-21-J06-CU-9,JE102N2,CU,NA,NA,16.4,118
U24,2015-05-21-J06-CU-2,JE102N2,CU,NA,NA,11.8,105
U25,2015-05-21-J06-SO-7,JE102N2,SO,NA,NA,8.6,95
U36,2015-05-21-J06-CU-4,JE102N2,CU,NA,NA,14.9,101
U17,2015-05-21-J06-SO-3,JE102N2,SO,NA,NA,9.9,109
U45,2015-05-23-J10-SO-20,JE109N3,SO,NA,NA,14,118
U46,2015-05-23-J10-SO-29,JE109N3,SO,NA,NA,14.4,110
U26,2015-05-23-J10-SO-27,JE109N3,SO,NA,NA,13.7,106
U27,2015-05-23-J10-SO-24,JE109N3,SO,NA,NA,12.7,108
U37,2015-05-23-J10-SO-18,JE109N3,SO,NA,NA,10.4,95
U38,2015-05-23-J10-SO-30,JE109N3,SO,NA,NA,12.2,108
U18,2015-05-21-J06-CU-10,JE102N2,CU,NA,NA,9.9,96
U40,2015-05-23-J10-SO-25,JE109N3,SO,NA,NA,13.7,106
U51,2015-05-23-J10-SO-21,JE109N3,SO,NA,NA,12.2,104
U52,2015-05-23-J09-SO-18,JE108N2,SO,NA,NA,18.1,121
U47,2015-05-23-J10-SO-26,JE109N3,SO,NA,NA,13.4,107
U48,2015-05-23-J10-SO-22,JE109N3,SO,NA,NA,10.9,103
U49,2015-05-23-J09-SO-22,JE108N2,SO,NA,NA,13.5,109
U50,2015-05-23-J09-SO-26,JE108N2,SO,NA,NA,13.9,114
U28,2015-05-23-J10-SO-19,JE109N3,SO,NA,NA,11.4,104
U29,2015-05-23-J10-SO-28,JE109N3,SO,NA,NA,11.5,100
U30,2015-05-23-J10-SO-23,JE109N3,SO,NA,NA,12.2,106
U61,2015-05-23-J09-SO-17,JE108N2,SO,NA,NA,12.8,108
U62,2015-05-23-J09-SO-23,JE108N2,SO,NA,NA,20.2,123
U19,2015-05-23-J10-SO-17,JE109N3,SO,NA,NA,9.8,98
U53,2015-05-23-J09-SO-19,JE108N2,SO,NA,NA,20.7,125
U54,2015-05-23-J09-SO-28,JE108N2,SO,NA,NA,15,110
U71,2015-05-23-J09-SO-24,JE108N2,SO,NA,NA,13.6,110
U72,2015-05-23-J09-SO-20,JE108N2,SO,NA,NA,12,103
U73,2015-05-23-J09-SO-27,JE108N2,SO,NA,NA,12.3,113
U63,2015-05-23-J09-SO-29,JE108N2,SO,NA,NA,15.6,110
U101,2015-05-23-J03-SO-23,JE107N2,SO,NA,NA,12.6,113
U102,2015-05-23-J03-SO-21,JE107N2,SO,NA,NA,12,104
U103,2015-05-22-J08-SO-13,JE105N2,SO,NA,NA,15.4,112
U20,2015-05-23-J03-SO-27,JE107N2,SO,NA,NA,15.7,118
U55,2015-05-22-J08-SO-7,JE105N2,SO,NA,NA,7.5,89
U56,2015-05-22-J08-SO-8,JE105N2,SO,NA,NA,9.3,93
U57,2015-05-23-J03-SO-20,JE107N2,SO,NA,NA,13.1,113
U58,2015-05-22-J08-SO-26,JE105N2,SO,NA,NA,10.4,96
U60,2015-05-23-J03-SO-25,JE107N2,SO,NA,NA,14,113
