eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
DE100N2,"NA",sockeyeCount,0,"NA","NA"
DE100N1,"NA",sockeyeCount,0,"NA","NA"
DE101N1,"NA",sockeyeCount,400,"NA","NA"
DE102N1,"NA",sockeyeCount,300,"NA","NA"
DE103N1,"NA",sockeyeCount,200,"NA","NA"
DE104N1,"NA",sockeyeCount,300,"NA","NA"
DE105N1,"NA",sockeyeCount,40,"NA","NA"
DE106N1,"NA",sockeyeCount,600,"NA","NA"
DE107N1,"NA",sockeyeCount,500,"NA","NA"
DE108N1,"NA",sockeyeCount,8,"NA","NA"
DE109N1,"NA",sockeyeCount,70,"NA","NA"
DE110N1,"NA",sockeyeCount,6,"NA","NA"
DE111N1,"NA",sockeyeCount,200,"NA","NA"
DE112N1,"NA",sockeyeCount,200,"NA","NA"
DE114N1,"NA",sockeyeCount,3,"NA","NA"
DE115N1,"NA",sockeyeCount,0,"NA","NA"
DE115N2,"NA",sockeyeCount,200,"NA","NA"
DE116N1,"NA",sockeyeCount,29,"NA","NA"
DE117N1,"NA",sockeyeCount,3000,"NA","NA"
DE120N1,"NA",sockeyeCount,0,"NA","NA"
DE120N2,"NA",sockeyeCount,200,"NA","NA"
DE121N1,"NA",sockeyeCount,200,"NA","NA"
DE124N1,"NA",sockeyeCount,200,"NA","NA"
DE125N1,"NA",sockeyeCount,0,"NA","NA"
DE128N3,"NA",sockeyeCount,0,"NA","NA"
DE128N2,"NA",sockeyeCount,0,"NA","NA"
DE128N1,"NA",sockeyeCount,0,"NA","NA"
DE128N4,"NA",sockeyeCount,200,"NA","NA"
DE130N1,"NA",sockeyeCount,40,"NA","NA"
DE137N1,"NA",sockeyeCount,30,"NA","NA"
DE138N1,"NA",sockeyeCount,0,"NA","NA"
DE139N1,"NA",sockeyeCount,200,"NA","NA"
DE140N1,"NA",sockeyeCount,40,"NA","NA"
DE143N1,"NA",sockeyeCount,2,"NA","NA"
DE145N1,"NA",sockeyeCount,0,"NA","NA"
