seine_id,survey_id,lat,long,set_time,so_total,pi_total,cu_total,co_total,he_total,ck_total
DE100N2,DE100,NA,NA,NA,0,NA,NA,NA,NA,NA
DE100N1,DE100,NA,NA,NA,0,NA,NA,NA,NA,NA
DE100N3,DE100,49.9613,-124.747,2015-05-12 11:40:00 PDT,NA,0,NA,NA,NA,NA
DE101N1,DE101,50.07902,-124.8509,2015-05-13 09:49:00 PDT,400,0,40,0,0,NA
DE102N1,DE102,49.99932,-125.1395,2015-05-14 07:38:00 PDT,300,0,0,0,10,NA
DE103N1,DE103,50.16142,-124.8842,2015-05-15 07:50:00 PDT,200,1,6,0,0,NA
DE104N1,DE104,50.08007,-124.8511,2015-05-15 10:21:00 PDT,300,0,10,0,1,NA
DE105N1,DE105,50.11842,-125.07512,2015-05-15 13:28:00 PDT,40,0,20,0,2,NA
DE106N1,DE106,50.08005,-125.2468,2015-05-16 08:00:00 PDT,600,2,1000,4,0,NA
DE107N1,DE107,50.16412,-125.1602,2015-05-16 12:30:00 PDT,500,1,300,1,10,NA
DE108N1,DE108,50.08123,-124.8549,2015-05-17 09:00:00 PDT,8,0,90,0,0,NA
DE109N1,DE109,50.11405,-125.0787,2015-05-18 07:30:00 PDT,70,0,10,0,2,NA
DE110N1,DE110,50.1659,-124.8888,2015-05-18 11:30:00 PDT,6,1,30,0,0,NA
DE111N1,DE111,50.34273,-125.0841,2015-05-19 10:30:00 PDT,200,2,100,6,10,NA
DE112N1,DE112,50.30787,-125.3293,2015-05-20 08:00:00 PDT,200,0,30,1,30,NA
DE114N1,DE114,50.13705,-125.1175,2015-05-21 09:45:00 PDT,3,5,30,5,0,NA
DE115N1,DE115,NA,NA,NA,0,NA,NA,NA,NA,NA
DE115N2,DE115,50.18217,-125.1493,2015-05-21 13:00:00 PDT,200,10,50,1,0,NA
DE116N1,DE116,50.31962,-125.0395,2015-05-23 07:00:00 PDT,29,0,40,2,1,NA
DE117N1,DE117,50.44365,-125.279,2015-05-23 10:15:00 PDT,3000,10,100,0,10,NA
DE120N1,DE120,NA,NA,NA,0,NA,NA,NA,NA,NA
DE120N2,DE120,50.34655,-125.45602,2015-05-24 08:40:00 PDT,200,0,300,1,10,NA
DE121N1,DE121,50.30723,-125.33345,2015-05-24 12:10:00 PDT,200,2,4,0,1,NA
DE124N1,DE124,50.3153,-125.05186,2015-05-25 07:35:00 PDT,200,0,40,0,0,NA
DE125N1,DE125,NA,NA,2015-05-25 10:23:00 PDT,0,0,0,0,0,NA
DE128N3,DE128,NA,NA,NA,0,NA,NA,NA,NA,NA
DE128N2,DE128,NA,NA,NA,0,NA,NA,NA,NA,NA
DE128N1,DE128,NA,NA,NA,0,NA,NA,NA,NA,NA
DE128N4,DE128,50.44466,-125.2804,2015-05-26 08:45:00 PDT,200,0,10,1,2,NA
DE130N1,DE130,50.30795,-125.32452,2015-05-26 12:29:00 PDT,40,0,10,0,0,NA
DE137N1,DE137,50.44941,-125.33027,2015-05-28 06:45:00 PDT,30,0,10,0,1,NA
DE138N1,DE138,NA,NA,2015-05-28 09:55:00 PDT,0,0,0,6,0,NA
DE139N1,DE139,50.308839999999996,-125.32275,2015-05-28 11:10:00 PDT,200,0,10,0,3,NA
DE140N1,DE140,50.10015,-125.27265,2015-05-30 10:19:00 PDT,40,0,200,0,0,NA
DE143N1,DE143,50.31763,-125.04942,2015-05-31 06:25:00 PDT,2,1,60,0,0,NA
DE145N1,DE145,50.06119,-124.87916,2015-05-31 09:32:00 PDT,0,0,10,10,0,NA
DE146N1,DE146,NA,NA,2015-05-31 10:49:00 PDT,0,0,6,0,0,NA
DE148N1,DE148,NA,NA,2015-05-31 13:04:00 PDT,0,0,0,0,0,NA
DE149N1,DE149,50.44527,-125.2774,2015-06-01 06:34:00 PDT,800,0,2,1,1,NA
DE150N2,DE150,NA,NA,NA,0,NA,NA,NA,NA,NA
DE150N1,DE150,NA,NA,NA,0,NA,NA,NA,NA,NA
DE150N3,DE150,50.34762,-125.45358,2015-06-01 09:32:00 PDT,100,1,200,1,1,NA
DE151N1,DE151,50.30492,-125.33058,2015-06-01 12:53:00 PDT,500,0,100,0,4,NA
DE152N2,DE152,NA,NA,NA,0,NA,NA,NA,NA,NA
DE152N1,DE152,NA,NA,NA,0,NA,NA,NA,NA,NA
DE152N3,DE152,50.44217,-125.27406,2015-06-03 06:42:00 PDT,500,1,300,0,2,NA
DE153N1,DE153,NA,NA,NA,0,NA,NA,NA,NA,NA
DE153N2,DE153,50.34851,-125.44831,2015-06-03 10:21:00 PDT,15,0,300,1,0,NA
DE154N1,DE154,50.30759,-125.32969,2015-06-03 13:11:00 PDT,40,1,40,0,7,NA
DE155N1,DE155,50.31954,-125.04247,2015-06-04 06:23:00 PDT,60,0,2,0,0,NA
DE158N1,DE158,NA,NA,NA,0,NA,NA,NA,NA,NA
DE158N2,DE158,50.07966,-125.24845,2015-06-04 11:32:00 PDT,40,20,20,0,0,NA
DE160N1,DE160,50.44342,-125.27904,2015-06-05 07:00:00 PDT,25,5,600,0,3,NA
DE162N1,DE162,50.30771,-125.32864,2015-06-05 10:59:00 PDT,100,0,200,4,1,NA
DE163N1,DE163,50.19112,-125.14202,2015-06-05 14:00:00 PDT,13,0,100,0,1,NA
DE164N1,DE164,NA,NA,2015-06-06 10:06:00 PDT,0,0,100,1,0,NA
DE168N1,DE168,50.30812,-125.3269,2015-06-07 10:51:00 PDT,40,1,10,0,1,NA
DE169N1,DE169,NA,NA,NA,0,NA,NA,NA,NA,NA
DE169N2,DE169,50.1915,-125.14292,2015-06-07 14:13:00 PDT,30,6,70,0,0,NA
DE170N1,DE170,NA,NA,NA,0,NA,NA,NA,NA,NA
DE170N2,DE170,50.30734,-125.33514,2015-06-09 06:34:00 PDT,27,1,100,0,3,NA
DE171N1,DE171,NA,NA,NA,0,NA,NA,NA,NA,NA
DE171N2,DE171,NA,NA,2015-06-09 10:20:00 PDT,0,0,0,0,0,NA
DE173N1,DE173,50.19077,-125.14249,2015-06-09 13:22:00 PDT,200,2,100,7,1,NA
DE174N1,DE174,50.30806,-125.32972,2015-06-11 09:20:00 PDT,100,1,100,0,5,NA
DE175N1,DE175,50.19017,-125.14437,2015-06-11 12:05:00 PDT,1,3,25,20,0,NA
DE179N1,DE179,NA,NA,2015-06-13 11:30:00 PDT,0,NA,NA,NA,NA,NA
DE182N1,DE182,50.19051,-125.1444,2015-06-13 14:29:00 PDT,23,3,100,6,0,NA
DE183N1,DE183,NA,NA,NA,0,NA,NA,NA,NA,NA
DE183N2,DE183,50.30767,-125.33023,2015-06-14 07:30:00 PDT,26,1,200,0,2,NA
DE184N1,DE184,50.347410000000004,-125.45333,2015-06-14 10:58:00 PDT,600,10,400,1,0,NA
DE185N1,DE185,NA,NA,NA,0,NA,NA,NA,NA,NA
DE185N2,DE185,NA,NA,2015-06-14 13:56:00 PDT,0,NA,NA,NA,NA,NA
DE186N1,DE186,NA,NA,2015-06-15 07:50:00 PDT,0,NA,NA,NA,NA,NA
DE189N1,DE189,NA,NA,2015-06-15 12:21:00 PDT,0,NA,NA,NA,NA,NA
DE190N1,DE190,NA,NA,2015-06-16 01:50:00 PDT,0,NA,NA,NA,NA,NA
DE192N2,DE192,NA,NA,NA,0,NA,NA,NA,NA,NA
DE192N1,DE192,NA,NA,NA,0,NA,NA,NA,NA,NA
