survey_id,survey_date
DE99,2015-05-10
DE100,2015-05-12
DE101,2015-05-13
DE102,2015-05-14
DE103,2015-05-15
DE104,2015-05-15
DE105,2015-05-15
DE106,2015-05-16
DE107,2015-05-16
DE108,2015-05-17
DE109,2015-05-18
DE110,2015-05-18
DE111,2015-05-19
DE112,2015-05-20
DE113,2015-05-21
DE114,2015-05-21
DE115,2015-05-21
DE116,2015-05-23
DE117,2015-05-23
DE118,2015-05-23
DE119,2015-05-23
DE120,2015-05-24
DE121,2015-05-24
DE122,2015-05-24
DE123,2015-05-25
DE124,2015-05-25
DE125,2015-05-25
DE126,2015-05-25
DE127,2015-05-25
DE128,2015-05-26
DE129,2015-05-26
DE130,2015-05-26
DE131,2015-05-27
DE132,2015-05-27
DE133,2015-05-27
DE134,2015-05-27
DE135,2015-05-27
DE136,2015-05-27
DE137,2015-05-28
DE138,2015-05-28
DE139,2015-05-28
DE140,2015-05-30
DE141,2015-05-30
DE142,2015-05-30
DE143,2015-05-31
DE144,2015-05-31
DE145,2015-05-31
DE146,2015-05-31
DE147,2015-05-31
DE148,2015-05-31
DE149,2015-06-01
DE150,2015-06-01
DE151,2015-06-01
DE152,2015-06-03
DE153,2015-06-03
DE154,2015-06-03
DE155,2015-06-04
DE156,2015-06-04
DE157,2015-06-04
DE158,2015-06-04
DE159,2015-06-04
DE160,2015-06-05
DE161,2015-06-05
DE162,2015-06-05
DE163,2015-06-05
DE164,2015-06-06
DE165,2015-06-06
DE166,2015-06-06
DE167,2015-06-06
DE168,2015-06-07
DE169,2015-06-07
DE170,2015-06-09
DE171,2015-06-09
DE172,2015-06-09
DE173,2015-06-09
DE174,2015-06-11
DE175,2015-06-11
DE176,2015-06-12
DE177,2015-06-13
DE178,2015-06-13
DE179,2015-06-13
DE180,2015-06-13
DE181,2015-06-13
DE182,2015-06-13
DE183,2015-06-14
DE184,2015-06-14
DE185,2015-06-14
DE186,2015-06-15
DE187,2015-06-15
DE188,2015-06-15
DE189,2015-06-15
DE190,2015-06-16
DE191,2015-06-16
DE192,2015-06-16
DE193,2015-06-16
DE194,2015-06-17
DE195,2015-06-17
DE196,2015-06-17
DE197,2015-06-18
DE198,2015-06-18
DE199,2015-06-18
DE200,2015-06-18
DE201,2015-06-19
DE202,2015-06-19
DE203,2015-06-19
DE204,2015-06-20
DE205,2015-06-20
DE206,2015-06-20
DE207,2015-06-21
DE208,2015-06-21
DE209,2015-06-21
DE210,2015-06-21
DE211,2015-06-21
DE212,2015-06-22
DE213,2015-06-22
