eventID,eventDate,maximumDepthInMeters,minimumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,countryCode
AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00Z,2017-08-20T22:48:00Z,12,12,69.3443,-163.5095,WGS84,US
AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00Z,2017-08-17T15:24:00Z,13,13,70.0357,-162.766,WGS84,US
AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00Z,2017-08-17T06:18:00Z,16,16,70.495,-160.6218,WGS84,US
AMBON_Zooplankton_2017_ML1.2_2017-08-17T17:42:00Z,2017-08-17T17:42:00Z,20,20,70.1388,-163.0542,WGS84,US
AMBON_Zooplankton_2017_BBL2_2017-08-21T01:22:00Z,2017-08-21T01:22:00Z,20,20,69.4504,-163.9212,WGS84,US
AMBON_Zooplankton_2017_BBL3_2017-08-21T04:08:00Z,2017-08-21T04:08:00Z,24,24,69.5484,-164.4218,WGS84,US
AMBON_Zooplankton_2017_ML3.2_2017-08-17T03:35:00Z,2017-08-17T03:35:00Z,26,26,70.5777,-160.8351,WGS84,US
AMBON_Zooplankton_2017_ML4.1_2017-08-12T11:00:00Z,2017-08-12T11:00:00Z,27,27,70.8908,-159.3972,WGS84,US
AMBON_Zooplankton_2017_CL0_2017-08-08T15:46:00Z,2017-08-08T15:46:00Z,29,29,68.8984,-166.4237,WGS84,US
AMBON_Zooplankton_2017_ML6.2_2017-08-09T13:34:00Z,2017-08-09T13:34:00Z,29,29,70.2664,-163.4098,WGS84,US
AMBON_Zooplankton_2017_ML1.3_2017-08-17T20:32:00Z,2017-08-17T20:32:00Z,29,29,70.2668,-163.4071,WGS84,US
AMBON_Zooplankton_2017_BBL4_2017-08-21T08:30:00Z,2017-08-21T08:30:00Z,29,29,69.6413,-164.811,WGS84,US
AMBON_Zooplankton_2017_ML6.1_2017-08-09T09:12:00Z,2017-08-09T09:12:00Z,30,30,70.0873,-163.9609,WGS84,US
AMBON_Zooplankton_2017_ML6.3_2017-08-09T17:45:00Z,2017-08-09T17:45:00Z,30,30,70.3891,-163.0234,WGS84,US
AMBON_Zooplankton_2017_DBO3.1_2017-08-07T17:25:00Z,2017-08-07T17:25:00Z,32,32,68.2993,-166.9332,WGS84,US
AMBON_Zooplankton_2017_ML5.4_2017-08-20T01:09:00Z,2017-08-20T01:09:00Z,33,33,71.0225,-164.8768,WGS84,US
AMBON_Zooplankton_2017_BBL5_2017-08-21T11:44:00Z,2017-08-21T11:44:00Z,33,33,69.7319,-165.2142,WGS84,US
AMBON_Zooplankton_2017_ML6.4_2017-08-09T21:00:00Z,2017-08-09T21:00:00Z,34,34,70.5097,-162.6442,WGS84,US
AMBON_Zooplankton_2017_ML1.4_2017-08-17T22:44:00Z,2017-08-17T22:44:00Z,34,34,70.3978,-163.765,WGS84,US
AMBON_Zooplankton_2017_ML6.5_2017-08-10T00:41:00Z,2017-08-10T00:41:00Z,38,38,70.6267,-162.2508,WGS84,US
AMBON_Zooplankton_2017_ML4.11_2017-08-13T14:54:00Z,2017-08-13T14:54:00Z,38,38,72.1088,-162.9294,WGS84,US
AMBON_Zooplankton_2017_ML4.12_2017-08-13T18:56:00Z,2017-08-13T18:56:00Z,38,38,72.2397,-163.3123,WGS84,US
AMBON_Zooplankton_2017_ML3.12_2017-08-15T19:18:00Z,2017-08-15T19:18:00Z,38,38,71.8718,-164.5617,WGS84,US
AMBON_Zooplankton_2017_ML1.7_2017-08-18T08:46:00Z,2017-08-18T08:46:00Z,38,38,70.7731,-164.8763,WGS84,US
AMBON_Zooplankton_2017_BBL6_2017-08-21T14:36:00Z,2017-08-21T14:36:00Z,38,38,69.8214,-165.6285,WGS84,US
AMBON_Zooplankton_2017_ML6.6_2017-08-10T03:18:00Z,2017-08-10T03:18:00Z,39,39,70.7258,-161.9405,WGS84,US
AMBON_Zooplankton_2017_ML5.2_2017-08-20T06:33:00Z,2017-08-20T06:33:00Z,39,39,70.7718,-165.6274,WGS84,US
AMBON_Zooplankton_2017_ML4.9_2017-08-13T08:33:00Z,2017-08-13T08:33:00Z,40,40,71.8517,-162.1542,WGS84,US
AMBON_Zooplankton_2017_ML3.10_2017-08-16T01:28:00Z,2017-08-16T01:28:00Z,40,40,71.6173,-163.7654,WGS84,US
