Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal _degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Accepted_Organism_Identification,Life_Stage,APHIA_ID,Abundance_[#/m3],Biomass_[mg dw/m3]
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Pisces,larvae,11676,1.172,n/a
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Isopoda, ,1131,1.172,n/a
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Evadne nordmanni, ,106273,1.172,0.0086
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Pseudocalanus newmani, ,157679,4.686,0.0121
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Pseudocalanus acuspes, ,104514,4.686,0.0335
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Echinodermata,larvae,1806,337.425,0.0357
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Podon leuckartii, ,106277,18.746,0.0514
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Fritillaria borealis, ,103375,206.204,0.0685
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Pseudocalanus,male,104165,18.746,0.0888
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Pseudocalanus, ,104165,93.729,0.1333
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Aglantha digitale, ,117849,32.805,0.1526
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Calanoida,nauplii,1100,449.9,0.1838
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Ophiuroidea,larvae,123084,974.784,0.2739
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Cirripedia,cyprid,1082,32.805,0.2947
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Calanus glacialis/marshallae, ,196770,1.172,0.3122
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Gastropoda,larvae,101,674.85,0.3277
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Acartia, ,104108,524.883,0.3791
AMBON2017,BBL1,TWINRING_150UM_MICROSCOPY,2017-08-20T22:48,-163.5095,69.3443,15,,12,Acartia longiremis, ,104257,121.848,0.4872
