STATION_DEPTH,eventID,eventDate,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,geodeticDatum,samplingProtocol
260,GC120604WBWB-72,2004-12-06T00:00:00Z,42.8612,-69.8605,255,255,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
255,GC013005WBWB-71,2005-01-30T00:00:00Z,42.8646,-69.8632,250,250,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
255,GC013005WBWB-72,2005-01-30T00:00:00Z,42.8646,-69.8632,250,250,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
245,GC021405WBWB-71,2005-02-14T00:00:00Z,42.8646,-69.8632,240,240,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
245,GC021405WBWB-72,2005-02-14T00:00:00Z,42.8646,-69.8632,240,240,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
249,GC031805WBWB-71,2005-03-18T00:00:00Z,42.8626,-69.8621,244,244,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
249,GC031805WBWB-72,2005-03-18T00:00:00Z,42.8626,-69.8621,244,244,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
263,GC040605WBWB-71,2005-04-06T00:00:00Z,42.8626,-69.8621,258,258,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
263,GC040605WBWB-72,2005-04-06T00:00:00Z,42.8626,-69.8621,258,258,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
261,GC051005WBWB-71,2005-05-10T00:00:00Z,42.862,-69.8623,256,256,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
263,GC061705WBWB-71,2005-06-17T00:00:00Z,42.8634,-69.8618,258,258,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
263,GC061705WBWB-72,2005-06-17T00:00:00Z,42.8634,-69.8618,258,258,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
255,GC071205WBWB-71,2005-07-15T00:00:00Z,42.8634,-69.8618,250,250,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
255,GC071205WBWB-72,2005-07-15T00:00:00Z,42.8634,-69.8618,250,250,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
258,GC081605WBWB-71,2005-08-16T00:00:00Z,42.8634,-69.8618,253,253,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
258,GC081605WBWB-72,2005-08-16T00:00:00Z,42.8634,-69.8618,253,253,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
260,GC091305WBWB-71,2005-09-13T00:00:00Z,42.8634,-69.8618,255,255,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
260,GC091305WBWB-72,2005-09-13T00:00:00Z,42.8634,-69.8618,255,255,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
256,GC102005WBWB-71,2005-10-20T00:00:00Z,42.8612,-69.8604,251,251,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
256,GC102005WBWB-72,2005-10-20T00:00:00Z,42.8612,-69.8604,251,251,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
256,GC020906HFWB-71,2006-02-09T00:00:00Z,42.8646,-69.8632,251,251,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
256,GC020906HFWB-72,2006-02-09T00:00:00Z,42.8646,-69.8632,251,251,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
257,GC032206WBWB-71,2006-03-22T00:00:00Z,42.8626,-69.8621,252,252,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
252,GC050806WBWB-71,2006-05-08T00:00:00Z,42.8621,-69.8623,247,247,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
252,GC050806WBWB-72,2006-05-08T00:00:00Z,42.8621,-69.8623,247,247,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
256,GC060606HFWB-71,2006-06-06T00:00:00Z,42.8634,-69.8618,251,251,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
256,GC060606HFWB-72,2006-06-06T00:00:00Z,42.8634,-69.8618,251,251,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
257,GC062606WBWB-71,2006-06-26T00:00:00Z,42.8634,-69.8618,252,252,EPSG:4326,"Mesh net cast: 0.75 meter diameter single ring or a SEA - GEAR Model 9600 twin - ring, 200µm mesh"
