eventID,measurementType,measurementTypeID,measurementValue,measurementUnit,measurementUnitID,measurementMethod,measurementDeterminedDate
GC013005WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-01-30T00:00:00Z
GC013005WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-01-30T00:00:00Z
GC021405WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-02-14T00:00:00Z
GC021405WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-02-14T00:00:00Z
GC031805WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-03-18T00:00:00Z
GC031805WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-03-18T00:00:00Z
GC040605WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-04-06T00:00:00Z
GC040605WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-04-06T00:00:00Z
GC051005WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-05-10T00:00:00Z
GC061705WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-06-17T00:00:00Z
GC061705WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-06-17T00:00:00Z
GC071205WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-07-15T00:00:00Z
GC071205WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-07-15T00:00:00Z
GC081605WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-08-16T00:00:00Z
GC081605WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-08-16T00:00:00Z
GC091305WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-09-13T00:00:00Z
GC091305WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-09-13T00:00:00Z
GC102005WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-10-20T00:00:00Z
GC102005WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2005-10-20T00:00:00Z
GC020906HFWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2006-02-09T00:00:00Z
GC020906HFWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2006-02-09T00:00:00Z
GC032206WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2006-03-22T00:00:00Z
GC050806WBWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2006-05-08T00:00:00Z
GC050806WBWB-72,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2006-05-08T00:00:00Z
GC060606HFWB-71,net type,http://vocab.nerc.ac.uk/collection/L05/current/22/,.75DRing,,,,2006-06-06T00:00:00Z
