occurrenceID,occurrenceStatus,basisOfRecord,organismID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,scientificNameID,eventID,samplingProtocol,kingdom,taxonRank,lifeStage,sex,associatedReferences,coordinateUncertaintyInMeters,dataGeneralizations
ioos_atn_38553_2011-06-18T03:00:00Z_0.0_bearded_seal,present,HumanObservation,137079_bearded_seal,2011-06-18T03:00:00Z,66.64,-163.0,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T03:00:00Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,0,first of 3 records.
ioos_atn_38553_2011-06-18T04:07:02Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-18T04:07:02Z,66.62,-162.994,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T04:07:02Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-18T05:16:18Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-18T05:16:18Z,66.617,-163.014,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T05:16:18Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 3 records.
ioos_atn_38553_2011-06-18T07:03:35Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-18T07:03:35Z,66.6,-163.135,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T07:03:35Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 3 records.
ioos_atn_38553_2011-06-18T09:11:19Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-18T09:11:19Z,66.601,-163.123,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T09:11:19Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-18T11:13:42Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-18T11:13:42Z,66.605,-163.096,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T11:13:42Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-18T12:50:52Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-18T12:50:52Z,66.625,-163.083,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T12:50:52Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
ioos_atn_38553_2011-06-18T14:14:40Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-18T14:14:40Z,66.64,-163.08,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-18T14:14:40Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,10000,
ioos_atn_38553_2011-06-19T00:08:08Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-19T00:08:08Z,66.662,-163.001,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-19T00:08:08Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 6 records.
ioos_atn_38553_2011-06-19T01:46:52Z_0.0_bearded_seal,present,MachineObservation,137079_bearded_seal,2011-06-19T01:46:52Z,66.644,-162.988,EPSG:4326,Erignathus barbatus,urn:lsid:marinespecies.org:taxname:137079,38553_bearded_seal_2011-06-19T01:46:52Z,satellite telemetry,Animalia,Species,sub-adult,male,https://doi.org/10.25921/wp4e-ph20,1500,first of 2 records.
