eventID,measurementDeterminedDate,measurementValue,measurementType,measurementUnit,measurementMethod,measurementTypeID,measurementUnitID
Varadero_2021-01-13,2021-01-13,0.0,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-02-04,2021-02-04,0.0,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-02-17,2021-02-17,0.0,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-03-04,2021-03-04,0.0,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-03-19,2021-03-19,0.0,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-04-08,2021-04-08,0.3828125,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-04-14,2021-04-14,1.2890625,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-04-21,2021-04-21,4.703125,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-04-27,2021-04-27,2.890625,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-05-05,2021-05-05,0.828125,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
Varadero_2021-05-12,2021-05-12,0.2578125,Sargassum biomass concentration,kg m-1,Measured in the field,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL05/,http://vocab.nerc.ac.uk/collection/S02/current/S040/
