eventDate,decimalLatitude,decimalLongitude,eventID,geodeticDatum,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
2021-01-13,17.972265,-67.065926,Varadero_2021-01-13,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-02-04,17.972265,-67.065926,Varadero_2021-02-04,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-02-17,17.972265,-67.065926,Varadero_2021-02-17,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-03-04,17.972265,-67.065926,Varadero_2021-03-04,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-03-19,17.972265,-67.065926,Varadero_2021-03-19,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-04-08,17.972265,-67.065926,Varadero_2021-04-08,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-04-14,17.972265,-67.065926,Varadero_2021-04-14,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-04-21,17.972265,-67.065926,Varadero_2021-04-21,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-04-27,17.972265,-67.065926,Varadero_2021-04-27,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-05-05,17.972265,-67.065926,Varadero_2021-05-05,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-05-12,17.972265,-67.065926,Varadero_2021-05-12,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
2021-05-18,17.972265,-67.065926,Varadero_2021-05-18,WGS84,unknown,0,0,"The weekly Sargassum biomass influx (kg∙m-1∙Wk-1) is quantified by transfering the Sargassum accumulated in traps to a mesh bag, and weighted on-site using an electronic fish scale. Sargassum traps are constructed with PVC pipe and plastic mesh (0.63 x 0.5 x 0.63 m; depth x width x height), deployed facing the prevailing southeasterly winds on the seaward edge."
