"eventID","occurrenceID","measurementType","measurementTypeID","measurementValue","measurementUnit","measurementUnitID","measurementDeterminedDate","measurementMethod"
"St. John_250_1","","temperature","",25.2,"Celsius","",2004-07-16,""
"St. John_250_1","","temperature","",25.2,"Celsius","",2004-07-16,""
"St. John_250_1","","temperature","",25.2,"Celsius","",2004-07-16,""
"St. John_250_1","","temperature","",25.2,"Celsius","",2004-07-16,""
"St. John_250_2","","temperature","",24.8,"Celsius","",2004-07-16,""
"St. John_250_2","","temperature","",24.8,"Celsius","",2004-07-16,""
"St. John_250_2","","temperature","",24.8,"Celsius","",2004-07-16,""
"St. John_250_2","","temperature","",24.8,"Celsius","",2004-07-16,""
"St. John_250_3","","temperature","",23.1,"Celsius","",2004-07-16,""
"St. John_250_3","","temperature","",23.1,"Celsius","",2004-07-16,""
"St. John_250_3","","temperature","",23.1,"Celsius","",2004-07-16,""
"St. John_250_3","","temperature","",23.1,"Celsius","",2004-07-16,""
"St. John_356_1","","temperature","",23.6,"Celsius","",2004-07-17,""
"St. John_356_1","","temperature","",23.6,"Celsius","",2004-07-17,""
"St. John_356_1","","temperature","",23.6,"Celsius","",2004-07-17,""
"St. John_356_1","","temperature","",23.6,"Celsius","",2004-07-17,""
"St. John_356_2","","temperature","",24.9,"Celsius","",2004-07-17,""
"St. John_356_2","","temperature","",24.9,"Celsius","",2004-07-17,""
"St. John_356_2","","temperature","",24.9,"Celsius","",2004-07-17,""
"St. John_356_2","","temperature","",24.9,"Celsius","",2004-07-17,""
"St. John_356_3","","temperature","",22.6,"Celsius","",2004-07-17,""
"St. John_356_3","","temperature","",22.6,"Celsius","",2004-07-17,""
"St. John_356_3","","temperature","",22.6,"Celsius","",2004-07-17,""
"St. John_356_3","","temperature","",22.6,"Celsius","",2004-07-17,""
"St. John_250_1","","rugosity","",0.295833,"","",2004-07-16,""
"St. John_250_1","","rugosity","",0.295833,"","",2004-07-16,""
"St. John_250_1","","rugosity","",0.295833,"","",2004-07-16,""
"St. John_250_1","","rugosity","",0.295833,"","",2004-07-16,""
"St. John_250_2","","rugosity","",0.364583,"","",2004-07-16,""
"St. John_250_2","","rugosity","",0.364583,"","",2004-07-16,""
"St. John_250_2","","rugosity","",0.364583,"","",2004-07-16,""
"St. John_250_2","","rugosity","",0.364583,"","",2004-07-16,""
"St. John_250_3","","rugosity","",0.413461,"","",2004-07-16,""
"St. John_250_3","","rugosity","",0.413461,"","",2004-07-16,""
"St. John_250_3","","rugosity","",0.413461,"","",2004-07-16,""
"St. John_250_3","","rugosity","",0.413461,"","",2004-07-16,""
"St. John_356_1","","rugosity","",0.312587,"","",2004-07-17,""
"St. John_356_1","","rugosity","",0.312587,"","",2004-07-17,""
"St. John_356_1","","rugosity","",0.312587,"","",2004-07-17,""
"St. John_356_1","","rugosity","",0.312587,"","",2004-07-17,""
"St. John_356_2","","rugosity","",0.158489,"","",2004-07-17,""
"St. John_356_2","","rugosity","",0.158489,"","",2004-07-17,""
"St. John_356_2","","rugosity","",0.158489,"","",2004-07-17,""
"St. John_356_2","","rugosity","",0.158489,"","",2004-07-17,""
"St. John_356_3","","rugosity","",0.489574,"","",2004-07-17,""
"St. John_356_3","","rugosity","",0.489574,"","",2004-07-17,""
"St. John_356_3","","rugosity","",0.489574,"","",2004-07-17,""
"St. John_356_3","","rugosity","",0.489574,"","",2004-07-17,""
"St. John_250_1","448c5fa6-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-16,""
"St. John_250_1","448c8698-ea03-11e9-8649-49c6324f3a06","Percent Cover","",5,"","",2004-07-16,""
"St. John_250_1","448c8699-ea03-11e9-8649-49c6324f3a06","Percent Cover","",15,"","",2004-07-16,""
"St. John_250_1","448c869a-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-16,""
"St. John_250_2","448c869b-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-16,""
"St. John_250_2","448c869c-ea03-11e9-8649-49c6324f3a06","Percent Cover","",3,"","",2004-07-16,""
"St. John_250_2","448c869d-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-16,""
"St. John_250_2","448c869e-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-16,""
"St. John_250_3","448c869f-ea03-11e9-8649-49c6324f3a06","Percent Cover","",22,"","",2004-07-16,""
"St. John_250_3","448c86a0-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-16,""
"St. John_250_3","448c86a1-ea03-11e9-8649-49c6324f3a06","Percent Cover","",16,"","",2004-07-16,""
"St. John_250_3","448c86a2-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-16,""
"St. John_356_1","448cad94-ea03-11e9-8649-49c6324f3a06","Percent Cover","",10,"","",2004-07-17,""
"St. John_356_1","448cad95-ea03-11e9-8649-49c6324f3a06","Percent Cover","",2,"","",2004-07-17,""
"St. John_356_1","448cad96-ea03-11e9-8649-49c6324f3a06","Percent Cover","",14,"","",2004-07-17,""
"St. John_356_1","448cad97-ea03-11e9-8649-49c6324f3a06","Percent Cover","",4,"","",2004-07-17,""
"St. John_356_2","448cad98-ea03-11e9-8649-49c6324f3a06","Percent Cover","",25,"","",2004-07-17,""
"St. John_356_2","448cad99-ea03-11e9-8649-49c6324f3a06","Percent Cover","",10,"","",2004-07-17,""
"St. John_356_2","448cad9a-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-17,""
"St. John_356_2","448cad9b-ea03-11e9-8649-49c6324f3a06","Percent Cover","",16,"","",2004-07-17,""
"St. John_356_3","448cad9c-ea03-11e9-8649-49c6324f3a06","Percent Cover","",28,"","",2004-07-17,""
"St. John_356_3","448cad9d-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-17,""
"St. John_356_3","448cad9e-ea03-11e9-8649-49c6324f3a06","Percent Cover","",0,"","",2004-07-17,""
"St. John_356_3","448cd490-ea03-11e9-8649-49c6324f3a06","Percent Cover","",13,"","",2004-07-17,""
