occurrenceid	basisofrecord	scientificname	scientificnameid	eventdate	decimallatitude	decimallongitude	occurrencestatus	countrycode	kingdom	geodeticdatum	value	value	?column?	datasetname	idenitifedby
UpperSlope_IP_South_Hydrophone_2013-05_01JAN2014:14:51:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-01-01T14:51:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01MAR2014:17:23:27.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-03-01T17:23:27Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01MAR2014:17:43:27.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-03-01T17:43:27Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_01APR2014:16:44:58.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-01T16:44:58Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_02APR2014:19:19:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-02T19:19:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_02APR2014:19:49:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-02T19:49:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_02APR2014:19:59:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-02T19:59:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_04APR2014:12:34:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-04T12:34:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_04APR2014:18:04:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-04T18:04:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
UpperSlope_IP_South_Hydrophone_2013-05_04APR2014:18:24:59.000_Orcinus_orca	HumanObservation	"Orcinus orca (Linnaeus, 1758)"	urn:lsid:marinespecies.org:taxname:137102	2014-04-04T18:24:59Z	48.42665833	-126.1741683	present		Animalia	WGS84	392	392	Hydrophone	"{""Upper Slope South Hydrophone Deployed 2013-05-11""}"	Jasper Kanes
