eventID,occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID
JE101N1,hakai-jsp-U01,fork length,118,mm,"NA"
JE101N1,hakai-jsp-U02,fork length,128,mm,"NA"
JE101N1,hakai-jsp-U11,fork length,132,mm,"NA"
JE101N1,hakai-jsp-U12,fork length,143,mm,"NA"
JE101N1,hakai-jsp-U03,fork length,134,mm,"NA"
JE101N1,hakai-jsp-U13,fork length,122,mm,"NA"
JE101N1,hakai-jsp-U04,fork length,132,mm,"NA"
JE101N1,hakai-jsp-U05,fork length,114,mm,"NA"
JE101N1,hakai-jsp-U14,fork length,139,mm,"NA"
JE101N1,hakai-jsp-U15,fork length,147,mm,"NA"
JE102N2,hakai-jsp-U31,fork length,96,mm,"NA"
JE102N2,hakai-jsp-U32,fork length,138,mm,"NA"
JE102N2,hakai-jsp-U07,fork length,113,mm,"NA"
JE102N2,hakai-jsp-U08,fork length,111,mm,"NA"
JE102N2,hakai-jsp-U09,fork length,115,mm,"NA"
JE102N2,hakai-jsp-U21,fork length,96,mm,"NA"
JE102N2,hakai-jsp-U22,fork length,127,mm,"NA"
JE102N2,hakai-jsp-U16,fork length,110,mm,"NA"
JE102N2,hakai-jsp-U33,fork length,131,mm,"NA"
JE102N2,hakai-jsp-U34,fork length,140,mm,"NA"
JE102N2,hakai-jsp-U35,fork length,108,mm,"NA"
JE102N2,hakai-jsp-U10,fork length,104,mm,"NA"
JE102N2,hakai-jsp-U41,fork length,110,mm,"NA"
JE102N2,hakai-jsp-U42,fork length,95,mm,"NA"
JE102N2,hakai-jsp-U43,fork length,95,mm,"NA"
JE102N2,hakai-jsp-U23,fork length,118,mm,"NA"
JE102N2,hakai-jsp-U24,fork length,105,mm,"NA"
JE102N2,hakai-jsp-U25,fork length,95,mm,"NA"
JE102N2,hakai-jsp-U36,fork length,101,mm,"NA"
JE102N2,hakai-jsp-U17,fork length,109,mm,"NA"
JE109N3,hakai-jsp-U45,fork length,118,mm,"NA"
JE109N3,hakai-jsp-U46,fork length,110,mm,"NA"
JE109N3,hakai-jsp-U26,fork length,106,mm,"NA"
JE109N3,hakai-jsp-U27,fork length,108,mm,"NA"
JE109N3,hakai-jsp-U37,fork length,95,mm,"NA"
JE109N3,hakai-jsp-U38,fork length,108,mm,"NA"
JE102N2,hakai-jsp-U18,fork length,96,mm,"NA"
JE109N3,hakai-jsp-U40,fork length,106,mm,"NA"
JE109N3,hakai-jsp-U51,fork length,104,mm,"NA"
JE108N2,hakai-jsp-U52,fork length,121,mm,"NA"
JE109N3,hakai-jsp-U47,fork length,107,mm,"NA"
JE109N3,hakai-jsp-U48,fork length,103,mm,"NA"
JE108N2,hakai-jsp-U49,fork length,109,mm,"NA"
JE108N2,hakai-jsp-U50,fork length,114,mm,"NA"
JE109N3,hakai-jsp-U28,fork length,104,mm,"NA"
JE109N3,hakai-jsp-U29,fork length,100,mm,"NA"
JE109N3,hakai-jsp-U30,fork length,106,mm,"NA"
JE108N2,hakai-jsp-U61,fork length,108,mm,"NA"
JE108N2,hakai-jsp-U62,fork length,123,mm,"NA"
JE109N3,hakai-jsp-U19,fork length,98,mm,"NA"
JE108N2,hakai-jsp-U53,fork length,125,mm,"NA"
JE108N2,hakai-jsp-U54,fork length,110,mm,"NA"
JE108N2,hakai-jsp-U71,fork length,110,mm,"NA"
JE108N2,hakai-jsp-U72,fork length,103,mm,"NA"
JE108N2,hakai-jsp-U73,fork length,113,mm,"NA"
JE108N2,hakai-jsp-U63,fork length,110,mm,"NA"
JE107N2,hakai-jsp-U101,fork length,113,mm,"NA"
JE107N2,hakai-jsp-U102,fork length,104,mm,"NA"
JE105N2,hakai-jsp-U103,fork length,112,mm,"NA"
JE107N2,hakai-jsp-U20,fork length,118,mm,"NA"
JE105N2,hakai-jsp-U55,fork length,89,mm,"NA"
JE105N2,hakai-jsp-U56,fork length,93,mm,"NA"
JE107N2,hakai-jsp-U57,fork length,113,mm,"NA"
JE105N2,hakai-jsp-U58,fork length,96,mm,"NA"
JE107N2,hakai-jsp-U60,fork length,113,mm,"NA"
JE105N2,hakai-jsp-U64,fork length,140,mm,"NA"
JE105N2,hakai-jsp-U65,fork length,112,mm,"NA"
JE105N2,hakai-jsp-U66,fork length,107,mm,"NA"
JE105N2,hakai-jsp-U74,fork length,96,mm,"NA"
JE105N2,hakai-jsp-U75,fork length,96,mm,"NA"
JE105N2,hakai-jsp-U59,fork length,88,mm,"NA"
JE105N2,hakai-jsp-U68,fork length,93,mm,"NA"
JE107N2,hakai-jsp-U69,fork length,102,mm,"NA"
JE105N2,hakai-jsp-U70,fork length,108,mm,"NA"
JE107N2,hakai-jsp-U76,fork length,108,mm,"NA"
JE105N2,hakai-jsp-U77,fork length,86,mm,"NA"
JE107N2,hakai-jsp-U78,fork length,118,mm,"NA"
JE105N2,hakai-jsp-U79,fork length,110,mm,"NA"
JE105N2,hakai-jsp-U80,fork length,110,mm,"NA"
JE107N2,hakai-jsp-U81,fork length,111,mm,"NA"
JE105N2,hakai-jsp-U91,fork length,110,mm,"NA"
JE105N2,hakai-jsp-U92,fork length,102,mm,"NA"
JE107N2,hakai-jsp-U82,fork length,102,mm,"NA"
JE105N2,hakai-jsp-U83,fork length,106,mm,"NA"
JE107N2,hakai-jsp-U84,fork length,100,mm,"NA"
JE105N2,hakai-jsp-U85,fork length,119,mm,"NA"
JE105N2,hakai-jsp-U93,fork length,100,mm,"NA"
JE105N2,hakai-jsp-U94,fork length,100,mm,"NA"
JE105N2,hakai-jsp-U95,fork length,100,mm,"NA"
JE105N2,hakai-jsp-U96,fork length,99,mm,"NA"
JE107N2,hakai-jsp-U97,fork length,102,mm,"NA"
JE107N2,hakai-jsp-U98,fork length,93,mm,"NA"
JE105N2,hakai-jsp-U111,fork length,106,mm,"NA"
JE107N2,hakai-jsp-U112,fork length,102,mm,"NA"
JE107N2,hakai-jsp-U86,fork length,104,mm,"NA"
JE105N2,hakai-jsp-U87,fork length,115,mm,"NA"
JE107N2,hakai-jsp-U88,fork length,112,mm,"NA"
JE105N2,hakai-jsp-U89,fork length,109,mm,"NA"
JE107N2,hakai-jsp-U90,fork length,109,mm,"NA"
JE107N2,hakai-jsp-U104,fork length,108,mm,"NA"
JE107N2,hakai-jsp-U105,fork length,113,mm,"NA"
JE105N2,hakai-jsp-U106,fork length,103,mm,"NA"
JE107N2,hakai-jsp-U107,fork length,119,mm,"NA"
JE107N2,hakai-jsp-U108,fork length,106,mm,"NA"
JE107N2,hakai-jsp-U113,fork length,109,mm,"NA"
JE107N2,hakai-jsp-U114,fork length,108,mm,"NA"
JE105N2,hakai-jsp-U115,fork length,107,mm,"NA"
JE107N2,hakai-jsp-U116,fork length,115,mm,"NA"
JE105N2,hakai-jsp-U121,fork length,109,mm,"NA"
JE105N2,hakai-jsp-U122,fork length,97,mm,"NA"
JE107N2,hakai-jsp-U123,fork length,115,mm,"NA"
JE107N2,hakai-jsp-U109,fork length,104,mm,"NA"
JE107N2,hakai-jsp-U117,fork length,103,mm,"NA"
JE107N2,hakai-jsp-U118,fork length,102,mm,"NA"
JE107N2,hakai-jsp-U124,fork length,103,mm,"NA"
JE105N2,hakai-jsp-U110,fork length,103,mm,"NA"
JE108N2,hakai-jsp-U119,fork length,113,mm,"NA"
JE108N2,hakai-jsp-U100,fork length,115,mm,"NA"
DE103N1,hakai-jsp-U99,fork length,88,mm,"NA"
JE108N2,hakai-jsp-U120,fork length,122,mm,"NA"
JE108N2,hakai-jsp-U151,fork length,116,mm,"NA"
JE108N2,hakai-jsp-U152,fork length,127,mm,"NA"
JE108N2,hakai-jsp-U153,fork length,115,mm,"NA"
JE108N2,hakai-jsp-U141,fork length,114,mm,"NA"
JE108N2,hakai-jsp-U142,fork length,116,mm,"NA"
JE108N2,hakai-jsp-U143,fork length,113,mm,"NA"
JE108N2,hakai-jsp-U144,fork length,115,mm,"NA"
JE105N2,hakai-jsp-U131,fork length,NA,mm,"NA"
JE105N2,hakai-jsp-U132,fork length,97,mm,"NA"
JE108N2,hakai-jsp-U154,fork length,105,mm,"NA"
JE108N2,hakai-jsp-U155,fork length,110,mm,"NA"
JE104N1,hakai-jsp-U156,fork length,110,mm,"NA"
JE105N2,hakai-jsp-U157,fork length,115,mm,"NA"
JE104N1,hakai-jsp-U158,fork length,116,mm,"NA"
