seine_id,survey_id,lat,long,set_time,so_total,so_taken,pi_total,pi_taken,cu_total,cu_taken,co_total,co_taken,he_total,he_taken,ck_total,ck_taken
DE100N3,DE100,49.9613,-124.747,2015-05-12 11:40:00 PDT,NA,30,0,0,NA,10,NA,1,NA,2,NA,NA
DE101N1,DE101,50.07902,-124.8509,2015-05-13 09:49:00 PDT,400,30,0,0,40,10,0,0,0,0,NA,NA
DE102N1,DE102,49.99932,-125.1395,2015-05-14 07:38:00 PDT,300,30,0,0,0,0,0,0,10,7,NA,NA
DE103N1,DE103,50.16142,-124.8842,2015-05-15 07:50:00 PDT,200,30,1,1,6,5,0,0,0,0,NA,NA
DE104N1,DE104,50.08007,-124.8511,2015-05-15 10:21:00 PDT,300,30,0,0,10,10,0,0,1,1,NA,NA
DE105N1,DE105,50.11842,-125.07512,2015-05-15 13:28:00 PDT,40,30,0,0,20,10,0,0,2,2,NA,NA
DE106N1,DE106,50.08005,-125.2468,2015-05-16 08:00:00 PDT,600,30,2,2,1000,10,4,4,0,0,NA,NA
DE107N1,DE107,50.16412,-125.1602,2015-05-16 12:30:00 PDT,500,30,1,1,300,10,1,1,10,10,NA,NA
DE108N1,DE108,50.08123,-124.8549,2015-05-17 09:00:00 PDT,8,8,0,0,90,10,0,0,0,0,NA,NA
DE109N1,DE109,50.11405,-125.0787,2015-05-18 07:30:00 PDT,70,30,0,0,10,1,0,0,2,2,NA,NA
DE110N1,DE110,50.1659,-124.8888,2015-05-18 11:30:00 PDT,6,6,1,1,30,10,0,0,0,0,NA,NA
DE111N1,DE111,50.34273,-125.0841,2015-05-19 10:30:00 PDT,200,30,2,2,100,10,6,2,10,5,NA,NA
DE112N1,DE112,50.30787,-125.3293,2015-05-20 08:00:00 PDT,200,30,0,0,30,10,1,1,30,10,NA,NA
DE114N1,DE114,50.13705,-125.1175,2015-05-21 09:45:00 PDT,3,3,5,5,30,10,5,1,0,0,NA,NA
DE115N2,DE115,50.18217,-125.1493,2015-05-21 13:00:00 PDT,200,30,10,8,50,10,1,1,0,0,NA,NA
DE116N1,DE116,50.31962,-125.0395,2015-05-23 07:00:00 PDT,29,29,0,0,40,10,2,1,1,1,NA,NA
DE117N1,DE117,50.44365,-125.279,2015-05-23 10:15:00 PDT,3000,30,10,2,100,2,0,0,10,1,NA,NA
DE120N2,DE120,50.34655,-125.45602,2015-05-24 08:40:00 PDT,200,30,0,0,300,10,1,1,10,6,NA,NA
DE121N1,DE121,50.30723,-125.33345,2015-05-24 12:10:00 PDT,200,30,2,2,4,4,0,0,1,1,NA,NA
DE124N1,DE124,50.3153,-125.05186,2015-05-25 07:35:00 PDT,200,30,0,0,40,10,0,0,0,0,NA,NA
DE128N4,DE128,50.44466,-125.2804,2015-05-26 08:45:00 PDT,200,30,0,0,10,5,1,1,2,1,NA,NA
DE130N1,DE130,50.30795,-125.32452,2015-05-26 12:29:00 PDT,40,30,0,0,10,10,0,0,0,0,NA,NA
DE137N1,DE137,50.44941,-125.33027,2015-05-28 06:45:00 PDT,30,30,0,0,10,5,0,0,1,1,NA,NA
DE139N1,DE139,50.308839999999996,-125.32275,2015-05-28 11:10:00 PDT,200,30,0,0,10,10,0,0,3,3,NA,NA
DE140N1,DE140,50.10015,-125.27265,2015-05-30 10:19:00 PDT,40,30,0,0,200,10,0,0,0,0,NA,NA
DE143N1,DE143,50.31763,-125.04942,2015-05-31 06:25:00 PDT,2,2,1,1,60,10,0,0,0,0,NA,NA
DE149N1,DE149,50.44527,-125.2774,2015-06-01 06:34:00 PDT,800,30,0,0,2,0,1,1,1,1,NA,NA
DE150N3,DE150,50.34762,-125.45358,2015-06-01 09:32:00 PDT,100,30,1,1,200,10,1,1,1,1,NA,NA
DE151N1,DE151,50.30492,-125.33058,2015-06-01 12:53:00 PDT,500,30,0,0,100,10,0,0,4,3,NA,NA
DE152N3,DE152,50.44217,-125.27406,2015-06-03 06:42:00 PDT,500,30,1,1,300,10,0,0,2,1,NA,NA
DE153N2,DE153,50.34851,-125.44831,2015-06-03 10:21:00 PDT,15,12,0,0,300,10,1,1,0,0,NA,NA
DE154N1,DE154,50.30759,-125.32969,2015-06-03 13:11:00 PDT,40,30,1,1,40,10,0,0,7,7,NA,NA
DE155N1,DE155,50.31954,-125.04247,2015-06-04 06:23:00 PDT,60,29,0,0,2,2,0,0,0,0,NA,NA
DE158N2,DE158,50.07966,-125.24845,2015-06-04 11:32:00 PDT,40,15,20,4,20,3,0,0,0,0,NA,NA
DE160N1,DE160,50.44342,-125.27904,2015-06-05 07:00:00 PDT,25,22,5,3,600,10,0,0,3,1,NA,NA
DE162N1,DE162,50.30771,-125.32864,2015-06-05 10:59:00 PDT,100,30,0,0,200,10,4,1,1,1,NA,NA
DE163N1,DE163,50.19112,-125.14202,2015-06-05 14:00:00 PDT,13,13,0,0,100,10,0,0,1,0,NA,NA
DE168N1,DE168,50.30812,-125.3269,2015-06-07 10:51:00 PDT,40,30,1,1,10,10,0,0,1,1,NA,NA
DE169N2,DE169,50.1915,-125.14292,2015-06-07 14:13:00 PDT,30,30,6,6,70,10,0,0,0,0,NA,NA
DE170N2,DE170,50.30734,-125.33514,2015-06-09 06:34:00 PDT,27,27,1,1,100,10,0,0,3,3,NA,NA
