w,Program,Project Name,Site Name,GPS Level,Point Name,CTD Station Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects
Hakai,Nearshore,Seagrass,McMullin North,site,NA,SEA08,sand,seagrass meadow,Zostera marina,active,yes,52 3.71999999999986,128 24.7200000000004,52.062,-128.412,2014,observation,annual,0.5,transect,NA,30m,201710,,,,,,"Prentice MSc 2016, Rechsteiner Phd 2017"
Hakai,Nearshore,Seagrass,McMullin South,site,NA,SEA09,sand,seagrass meadow,Zostera marina,active,yes,52 3.11999999999998,128 24.1799999999995,52.052,-128.403,2014,observation,annual,1.5,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SW,site,NA,SEA07,sand,seagrass meadow,Zostera marina,active,yes,51 55.3617600000001,128 27.88794,51.922696,-128.464799,2014,observation,annual,3,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Goose SE,site,NA,SEA06,sand cobble,seagrass meadow,Zostera marina,active,yes,51 55.4999999999998,128 27.2400000000005,51.925,-128.454,2014,observation,annual,2.5,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Triquet Bay,site,NA,SEA10,sand,seagrass meadow,Zostera marina,active,yes,51 48.5399999999998,128 14.1599999999994,51.809,-128.236,2014,observation,annual,0.5,transect,NA,30m,201710,,,,,,Prentice MSc 2016
Hakai,Nearshore,Seagrass,Triquet North,site,NA,SEA11,sand cobble,seagrass meadow,Zostera marina,active,yes,51 48.5399999999998,128 14.8200000000008,51.809,-128.247,2014,observation,annual,3,transect,NA,30m,201710,,,,,,
Hakai,Nearshore,Seagrass,Choked Lower,NA,NA,,sand,seagrass meadow,Zostera marina,active,yes,51 40.7333081999998,128 7.55880599999955,51.67888847,-128.1259801,2014,observation,seasonal,,transect,NA,30m,201710,,,,,,Prentice MSc 2016
Hakai,Nearshore,Seagrass,Choked Sandspit,NA,NA,,sand,seagrass meadow,Zostera marina,active,yes,51 40.6799999999998,128 6.90000000000055,51.678,-128.115,2014,observation,seasonal,,transect,NA,30m,201710,,,,,,Prentice MSc 2016
Hakai,Nearshore,Seagrass,Choked Interior,site,NA,SEA02,sand,seagrass meadow,Zostera marina,active,yes,51 40.4999999999998,128 7.13999999999999,51.675,-128.119,2015,observation,seasonal,3.5,transect,NA,30m,201710,,,,,,"Olson MSc 2015, Griffiths BSc 2015, Prentice MSc 2016"
Hakai,Nearshore,Seagrass,Choked Wolf,NA,NA,,sand,seagrass meadow,Zostera marina,active,yes,51 40.3539894000001,128 7.03246199999967,51.67256649,-128.1172077,2015,observation,seasonal,,transect,NA,30m,201801,,,,,,
Hakai,Nearshore,Seagrass,Choked ID,NA,NA,,sand,seagrass meadow,Zostera marina,active,yes,51 40.4722787999998,128 7.06636800000069,51.67453798,-128.1177728,2015,observation,seasonal,,transect,NA,30m,201801,,,,,,
Hakai,Nearshore,Seagrass,Choked IC,NA,NA,,sand,seagrass meadow,Zostera marina,active,yes,51 40.4095236000001,128 7.08118199999944,51.67349206,-128.1180197,2015,observation,seasonal,,transect,NA,30m,201801,,,,,,
Hakai,Nearshore,Seagrass,Choked Flat Islands,NA,NA,,sand,seagrass meadow,Zostera marina,active,yes,51 40.4956134000001,128 7.42458600000077,51.67492689,-128.1237431,2015,observation,seasonal,,transect,NA,30m,,,,,,,
Hakai,Nearshore,Seagrass,Koeye Estuary,site,NA,SEA16,sand,seagrass meadow,Zostera marina,active,yes,51 46.8216000000001,127 52.2408600000003,51.78036,-127.870681,2016,observation,seasonal,3,transect,NA,30m,201710,,,,,,Prentice MSc 2016
Hakai,Nearshore,Seagrass,Pruth Bay,site,NA,SEA15,sand,seagrass meadow,Zostera marina,active,yes,51 38.7192792,128 7.15513799999997,51.64532132,-128.1192523,2016,observation,seasonal,-0.6,transect,NA,30m,201710,,,,,,"Prentice MSc 2016, Adamczyk PhD 2017, Graham PhD 2017"
Hakai,Nearshore,Seagrass,Choked Pass,transect,CHOKED_PASS_EDGE1,,sand,seagrass meadow,Zostera marina,active,yes,51 40.7291705999998,128 6.88513199999989,51.67881951,-128.1147522,2015,observation,seasonal,,transect,NA,30m,201710,,,,,Old name = Sandspit,"Olson MSc 2015, Adamczyk Phd 2017"
