"","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","collector","hakai_id","sample_type","depth","transect_dist","collected_start","collected_end","density","density_msq","canopy_height_cm","flowering_shoots","comments","quality_log"
"1","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2016-05-13,4,"Zach","Derek","2016-05-13_PRUTH_BAY_INTERIOR4_0","seagrass_density",6,0,2016-05-13 23:51:00,2016-05-13 23:59:00,13,208,60,NA,NA,NA
"2","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2016-05-13,4,"Zach","Derek","2016-05-13_PRUTH_BAY_INTERIOR4_5","seagrass_density",6,5,2016-05-13 23:51:00,2016-05-13 23:59:00,10,160,63,NA,NA,NA
"3","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2016-05-13,4,"Zach","Derek","2016-05-13_PRUTH_BAY_INTERIOR4_10","seagrass_density",6,10,2016-05-13 23:51:00,2016-05-13 23:59:00,18,288,80,NA,NA,NA
"4","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2016-05-13,4,"Zach","Derek","2016-05-13_PRUTH_BAY_INTERIOR4_15","seagrass_density",6,15,2016-05-13 23:51:00,2016-05-13 23:59:00,22,352,54,NA,NA,NA
"5","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2016-05-13,4,"Zach","Derek","2016-05-13_PRUTH_BAY_INTERIOR4_20","seagrass_density",5,20,2016-05-13 23:51:00,2016-05-13 23:59:00,16,256,55,NA,NA,NA
"6","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2016-05-13,4,"Zach","Derek","2016-05-13_PRUTH_BAY_INTERIOR4_25","seagrass_density",6,25,2016-05-13 23:51:00,2016-05-13 23:59:00,31,496,50,NA,NA,NA
"7","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR4",2016-05-13,4,"Zach","Derek","2016-05-13_PRUTH_BAY_INTERIOR4_30","seagrass_density",6,30,2016-05-13 23:51:00,2016-05-13 23:59:00,9,144,63,NA,NA,NA
"8","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","2017-11-22_CHOKED_PASS_INTERIOR6_10","seagrass_density",9.1,10,2017-11-22 20:45:32,2017-11-22 20:50:51,5,80,85,0,NA,NA
"9","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","2017-11-22_CHOKED_PASS_INTERIOR6_15","seagrass_density",9,15,2017-11-22 20:45:32,2017-11-22 20:50:51,6,96,80,0,NA,NA
"10","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","2017-11-22_CHOKED_PASS_INTERIOR6_20","seagrass_density",8.9,20,2017-11-22 20:45:32,2017-11-22 20:50:51,6,96,90,0,NA,NA
"11","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","2017-11-22_CHOKED_PASS_INTERIOR6_25","seagrass_density",9,25,2017-11-22 20:45:32,2017-11-22 20:50:51,6,96,95,0,NA,NA
"12","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_INTERIOR6",2017-11-22,6,"gillian","derek","2017-11-22_CHOKED_PASS_INTERIOR6_30","seagrass_density",9.2,30,2017-11-22 20:45:32,2017-11-22 20:50:51,3,48,75,0,NA,NA
"13","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-07-03,5,"angeleen","derek","2017-07-03_PRUTH_BAY_INTERIOR5_0","seagrass_density",2.5,0,2017-07-03 17:22:38,2017-07-03 17:35:48,13,208,60,NA,NA,NA
"14","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-07-03,5,"angeleen","derek","2017-07-03_PRUTH_BAY_INTERIOR5_5","seagrass_density",2.3,5,2017-07-03 17:22:38,2017-07-03 17:35:48,30,480,65,NA,NA,NA
"15","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-07-03,5,"angeleen","derek","2017-07-03_PRUTH_BAY_INTERIOR5_10","seagrass_density",1.9,10,2017-07-03 17:22:38,2017-07-03 17:35:48,23,368,60,NA,NA,NA
"16","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-07-03,5,"angeleen","derek","2017-07-03_PRUTH_BAY_INTERIOR5_15","seagrass_density",2.3,15,2017-07-03 17:22:38,2017-07-03 17:35:48,8,128,55,NA,NA,NA
"17","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-07-03,5,"angeleen","derek","2017-07-03_PRUTH_BAY_INTERIOR5_20","seagrass_density",2.3,20,2017-07-03 17:22:38,2017-07-03 17:35:48,31,496,75,NA,NA,NA
"18","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-07-03,5,"angeleen","derek","2017-07-03_PRUTH_BAY_INTERIOR5_25","seagrass_density",2.5,25,2017-07-03 17:22:38,2017-07-03 17:35:48,28,448,75,NA,NA,NA
"19","HAKAI","CALVERT","MARINEGEO","PRUTH_BAY","PRUTH_BAY_INTERIOR5",2017-07-03,5,"angeleen","derek","2017-07-03_PRUTH_BAY_INTERIOR5_30","seagrass_density",2.4,30,2017-07-03 17:22:38,2017-07-03 17:35:48,32,512,55,NA,NA,NA
