,organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,collector,hakai_id,sample_type,depth,transect_dist,collected_start,collected_end,bag_uid,bag_number,density_range,substrate,patchiness,adj_habitat_1,adj_habitat_2,sample_collected,vegetation_1,vegetation_2,comments,quality_log
1,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-11-22,6,gillian,zach,10883,seagrass_habitat,9.2,0 - 5,2017-11-22 20:45,2017-11-22 20:50,10883,3557,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,1: Flowering shoots 0 for entire transects
2,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-11-22,6,gillian,zach,2017-11-22_CHOKED_PASS_INTERIOR6_5 - 10,seagrass_habitat,9.4,10-May,2017-11-22 20:45,2017-11-22 20:50,NA,NA,NA,"sand,shell hash",< 1,seagrass,NA,FALSE,NA,NA,NA,NA
3,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-11-22,6,gillian,zach,2017-11-22_CHOKED_PASS_INTERIOR6_10 - 15,seagrass_habitat,9.3,15-Oct,2017-11-22 20:45,2017-11-22 20:50,NA,NA,NA,"sand,shell hash",02-Jan,seagrass,NA,FALSE,NA,NA,NA,NA
4,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-11-22,6,gillian,zach,11094,seagrass_habitat,9,15 - 20,2017-11-22 20:45,2017-11-22 20:50,11094,3520,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,NA
5,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-11-22,6,gillian,zach,2017-11-22_CHOKED_PASS_INTERIOR6_20 - 25,seagrass_habitat,9.2,20 - 25,2017-11-22 20:45,2017-11-22 20:50,NA,NA,NA,"sand,shell hash",< 1,seagrass,NA,FALSE,NA,NA,NA,NA
6,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_INTERIOR6,2017-11-22,6,gillian,zach,11182,seagrass_habitat,9.2,25 - 30,2017-11-22 20:45,2017-11-22 20:50,11182,903,NA,"sand,shell hash",< 1,seagrass,NA,TRUE,NA,NA,NA,NA
7,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,"gillian,gillian.sadlierbrown",kyle,7119,seagrass_habitat,3.4,0 - 5,2017-05-19 16:52,2017-05-19 16:58,7119,800,NA,"sand,shell hash",< 1,sand,NA,TRUE,des,NA,NA,NA
8,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,"gillian,gillian.sadlierbrown",kyle,2017-05-19_CHOKED_PASS_EDGE1_5 - 10,seagrass_habitat,3.4,10-May,2017-05-19 16:52,2017-05-19 16:58,NA,NA,NA,"sand,shell hash",< 1,sand,NA,FALSE,NA,NA,NA,NA
9,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,"gillian,gillian.sadlierbrown",kyle,7100,seagrass_habitat,3.4,15-Oct,2017-05-19 16:52,2017-05-19 16:58,7100,318,NA,"sand,shell hash",< 1,sand,NA,TRUE,des,NA,NA,NA
10,HAKAI,CALVERT,MARINEGEO,CHOKED_PASS,CHOKED_PASS_EDGE1,2017-05-19,1,"gillian,gillian.sadlierbrown",kyle,2017-05-19_CHOKED_PASS_EDGE1_15 - 20,seagrass_habitat,3.4,15 - 20,2017-05-19 16:52,2017-05-19 16:58,NA,NA,NA,"sand,shell hash",< 1,sand,NA,FALSE,NA,NA,NA,NA
