occurrenceID,decimalLatitude,decimalLongitude,scientificName,scientificNameID,occurrenceStatus,basisOfRecord,datasetID,eventDate,samplingProtocol,organismQuantity
,,,Oncaea Venusta,,Present,Human observation,,,64um plankton net,572
,,,Oncaea Venusta,,Present,Human observation,,,200 um plankton net,984
,,,Oncaea Venusta,,Present,Human observation,,,500 um plankton net,4
,,,Oncaea Venusta,,Present,Human observation,,,64um plankton net,256
,,,Oncaea Venusta,,Present,Human observation,,,200 um plankton net,5920
,,,Oncaea Venusta,,Absent,Human observation,,,500 um plankton net,0
,,,Oncaea Venusta,,Present,Human observation,,,64um plankton net,344
,,,Oncaea Venusta,,Present,Human observation,,,200 um plankton net,432
,,,Oncaea Venusta,,Absent,Human observation,,,500 um plankton net,0
,,,Larvacean,,Present,Human observation,,,64um plankton net,64
,,,Larvacean,,Present,Human observation,,,200 um plankton net,68
,,,Larvacean,,Present,Human observation,,,500 um plankton net,7
,,,Larvacean,,Present,Human observation,,,64um plankton net,12
,,,Larvacean,,Present,Human observation,,,200 um plankton net,96
,,,Larvacean,,Absent,Human observation,,,500 um plankton net,0
,,,Larvacean,,Present,Human observation,,,64um plankton net,128
,,,Larvacean,,Absent,Human observation,,,200 um plankton net,0
,,,Larvacean,,Absent,Human observation,,,500 um plankton net,0
,,,unknown eggs,,Present,Human observation,,,64um plankton net,196
,,,unknown eggs,,Present,Human observation,,,200 um plankton net,212
,,,unknown eggs,,Present,Human observation,,,500 um plankton net,80
,,,unknown eggs,,Absent,Human observation,,,64um plankton net,0
,,,unknown eggs,,Present,Human observation,,,200 um plankton net,1696
,,,unknown eggs,,Present,Human observation,,,500 um plankton net,17
,,,unknown eggs,,Present,Human observation,,,64um plankton net,120
,,,unknown eggs,,Absent,Human observation,,,200 um plankton net,0
,,,unknown eggs,,Absent,Human observation,,,500 um plankton net,0
,,,part of barnacle,,Absent,Human observation,,,64um plankton net,0
,,,part of barnacle,,Present,Human observation,,,200 um plankton net,4
,,,part of barnacle,,Absent,Human observation,,,500 um plankton net,0
,,,part of barnacle,,Absent,Human observation,,,64um plankton net,0
,,,part of barnacle,,Present,Human observation,,,200 um plankton net,32
,,,part of barnacle,,Absent,Human observation,,,500 um plankton net,0
,,,part of barnacle,,Absent,Human observation,,,64um plankton net,0
,,,part of barnacle,,Absent,Human observation,,,200 um plankton net,0
,,,part of barnacle,,Present,Human observation,,,500 um plankton net,2
,,,calanoid,,Present,Human observation,,,64um plankton net,548
,,,calanoid,,Present,Human observation,,,200 um plankton net,240
,,,calanoid,,Present,Human observation,,,500 um plankton net,31
,,,calanoid,,Present,Human observation,,,64um plankton net,1140
,,,calanoid,,Present,Human observation,,,200 um plankton net,2592
,,,calanoid,,Present,Human observation,,,500 um plankton net,2
,,,calanoid,,Present,Human observation,,,64um plankton net,2552
,,,calanoid,,Present,Human observation,,,200 um plankton net,2704
,,,calanoid,,Present,Human observation,,,500 um plankton net,308
,,,nauplii,,Present,Human observation,,,64um plankton net,584
,,,nauplii,,Present,Human observation,,,200 um plankton net,88
,,,nauplii,,Present,Human observation,,,500 um plankton net,2
,,,nauplii,,Present,Human observation,,,64um plankton net,208
,,,nauplii,,Absent,Human observation,,,200 um plankton net,0
,,,nauplii,,Absent,Human observation,,,500 um plankton net,0
,,,nauplii,,Present,Human observation,,,64um plankton net,3832
,,,nauplii,,Absent,Human observation,,,200 um plankton net,0
,,,nauplii,,Absent,Human observation,,,500 um plankton net,0
