eventID,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
DE100N3,2015-05-12,49.9613,-124.747,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE101N1,2015-05-13,50.07902,-124.8509,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE102N1,2015-05-14,49.99932,-125.1395,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE103N1,2015-05-15,50.16142,-124.8842,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE104N1,2015-05-15,50.08007,-124.8511,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE105N1,2015-05-15,50.11842,-125.07512,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE106N1,2015-05-16,50.08005,-125.2468,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE107N1,2015-05-16,50.16412,-125.1602,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE108N1,2015-05-17,50.08123,-124.8549,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE109N1,2015-05-18,50.11405,-125.0787,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE110N1,2015-05-18,50.1659,-124.8888,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE111N1,2015-05-19,50.34273,-125.0841,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE112N1,2015-05-20,50.30787,-125.3293,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE114N1,2015-05-21,50.13705,-125.1175,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE115N2,2015-05-21,50.18217,-125.1493,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE116N1,2015-05-23,50.31962,-125.0395,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE117N1,2015-05-23,50.44365,-125.279,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE120N2,2015-05-24,50.34655,-125.45602,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE121N1,2015-05-24,50.30723,-125.33345,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE124N1,2015-05-25,50.3153,-125.05186,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE128N4,2015-05-26,50.44466,-125.2804,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE130N1,2015-05-26,50.30795,-125.32452,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE137N1,2015-05-28,50.44941,-125.33027,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE139N1,2015-05-28,50.308839999999996,-125.32275,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE140N1,2015-05-30,50.10015,-125.27265,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE143N1,2015-05-31,50.31763,-125.04942,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE149N1,2015-06-01,50.44527,-125.2774,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE150N3,2015-06-01,50.34762,-125.45358,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE151N1,2015-06-01,50.30492,-125.33058,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE152N3,2015-06-03,50.44217,-125.27406,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE153N2,2015-06-03,50.34851,-125.44831,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE154N1,2015-06-03,50.30759,-125.32969,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE155N1,2015-06-04,50.31954,-125.04247,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE158N2,2015-06-04,50.07966,-125.24845,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE160N1,2015-06-05,50.44342,-125.27904,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE162N1,2015-06-05,50.30771,-125.32864,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE163N1,2015-06-05,50.19112,-125.14202,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE168N1,2015-06-07,50.30812,-125.3269,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE169N2,2015-06-07,50.1915,-125.14292,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE170N2,2015-06-09,50.30734,-125.33514,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
DE173N1,2015-06-09,50.19077,-125.14249,EPSG:4326 WGS84,0,9,http://dx.doi.org/10.21966/1.566666
