"scientificName","eventID","occurrenceID","occurrenceStatus","acceptedname","acceptedID","scientificNameID","kingdom","phylum","class","order","family","genus","scientificNameAuthorship","taxonRank"
"Acropora cervicornis","St. John_250_1","63be8f7e-ea9a-11e9-8649-49c6324f3a06","absent","Acropora cervicornis","206989","urn:lsid:marinespecies.org:taxname:206989","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","(Lamarck, 1816)","Species"
"Acropora cervicornis","St. John_250_2","63beb687-ea9a-11e9-8649-49c6324f3a06","absent","Acropora cervicornis","206989","urn:lsid:marinespecies.org:taxname:206989","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","(Lamarck, 1816)","Species"
"Acropora cervicornis","St. John_250_3","63beb68b-ea9a-11e9-8649-49c6324f3a06","present","Acropora cervicornis","206989","urn:lsid:marinespecies.org:taxname:206989","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","(Lamarck, 1816)","Species"
"Acropora cervicornis","St. John_356_1","63bedd76-ea9a-11e9-8649-49c6324f3a06","present","Acropora cervicornis","206989","urn:lsid:marinespecies.org:taxname:206989","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","(Lamarck, 1816)","Species"
"Acropora cervicornis","St. John_356_2","63bedd7a-ea9a-11e9-8649-49c6324f3a06","present","Acropora cervicornis","206989","urn:lsid:marinespecies.org:taxname:206989","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","(Lamarck, 1816)","Species"
"Acropora cervicornis","St. John_356_3","63bedd7e-ea9a-11e9-8649-49c6324f3a06","present","Acropora cervicornis","206989","urn:lsid:marinespecies.org:taxname:206989","Animalia","Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","(Lamarck, 1816)","Species"
"Madracis auretenra","St. John_250_1","63beb684-ea9a-11e9-8649-49c6324f3a06","present","Madracis auretenra","430664","urn:lsid:marinespecies.org:taxname:430664","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis","Locke, Weil & Coates, 2007","Species"
"Madracis auretenra","St. John_250_2","63beb688-ea9a-11e9-8649-49c6324f3a06","present","Madracis auretenra","430664","urn:lsid:marinespecies.org:taxname:430664","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis","Locke, Weil & Coates, 2007","Species"
"Madracis auretenra","St. John_250_3","63beb68c-ea9a-11e9-8649-49c6324f3a06","absent","Madracis auretenra","430664","urn:lsid:marinespecies.org:taxname:430664","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis","Locke, Weil & Coates, 2007","Species"
"Madracis auretenra","St. John_356_1","63bedd77-ea9a-11e9-8649-49c6324f3a06","present","Madracis auretenra","430664","urn:lsid:marinespecies.org:taxname:430664","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis","Locke, Weil & Coates, 2007","Species"
"Madracis auretenra","St. John_356_2","63bedd7b-ea9a-11e9-8649-49c6324f3a06","present","Madracis auretenra","430664","urn:lsid:marinespecies.org:taxname:430664","Animalia","Cnidaria","Anthozoa","Scleractinia","Pocilloporidae","Madracis","Locke, Weil & Coates, 2007","Species"
